№,YouTube ID,Исходное название,YouTube,Основной плейлист,Порядок,Дополнительные плейлисты,Визуальная рубрика,HEX,Язык / среда,Формат,Урок / часть,Надпись на обложке,Статус,Файл в архиве,Разрешение,"Размер, байт",Проверка перед загрузкой,Основание тематики,Источник визуала,Примечания,Старые плейлисты,SHA-256
11,0M9TZE58Ryg,Автоматизированный стенд тестирования IoT устройств,https://www.youtube.com/watch?v=0M9TZE58Ryg,"Автоматизация измерений — стенды, испытания и поверка",5,MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,ТЕСТИРУЕМ IoT-УСТРОЙСТВА,Готово · проверить новый макет,thumbnails/0M9TZE58Ryg.jpg,1280 × 720,120467,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - Новинки видео; MOKO - решения и обзоры,179af77c41eaade8807a2c80c654e6e2cd6380531251a677a1d7e3ecc5e0af35
12,i3N3CFncdw8,Стрим #1: Делаем основу драйвера и переделываем скрипт Rohde & Schwarz,https://www.youtube.com/watch?v=i3N3CFncdw8,"Разработка ПО — практика, инструменты и стримы",4,Стримы MOKO — разработка и измерения,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Стрим,,ДРАЙВЕР И СКРИПТ,Готово · проверить новый макет,thumbnails/i3N3CFncdw8.jpg,1280 × 720,97405,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Не ставить Python/LabVIEW на обложке без подтверждения языка по содержанию. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Новинки видео; MOKO - решения и обзоры,d8d271ce7370b169475d3439bc4375197e7ca3ccff0bf0e06fbd2b47be6a5df6
13,MSGRIN6oUZQ,Анонс управление сторонними приложениями с помощью AutoIt через MOKO SE,https://www.youtube.com/watch?v=MSGRIN6oUZQ,MOKO SE — возможности и инструкции,17,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,AUTOIT + MOKO SE,Готово · проверить новый макет,thumbnails/MSGRIN6oUZQ.jpg,1280 × 720,79148,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Проверить версию программы и актуальность интерфейса перед финальной обложкой. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Новинки видео; MOKO - решения и обзоры,6f211db9791f1d1802e622239b176aaab5bfd2706d8f22a0b8774e6927a4b5e7
14,tpdw4fKgaEg,Приобретен новый станок для резки металла XT-H1530,https://www.youtube.com/watch?v=tpdw4fKgaEg,Электроника и оборудование — проекты MOKO,1,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,РЕЗКА МЕТАЛЛА,Готово · проверить новый макет,thumbnails/tpdw4fKgaEg.jpg,1280 × 720,97547,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - Новинки видео; MOKO - решения и обзоры,aca17008b7ee191da9e6ddb17a0da91655cf342777da2e0b73b17dccca171fb9
15,CllBnT_-hKs,Автоматизированная поверка мультиметра на базе MOKO SE - демо проект,https://www.youtube.com/watch?v=CllBnT_-hKs,"Автоматизация измерений — стенды, испытания и поверка",2,MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,ПОВЕРКА МУЛЬТИМЕТРА,Готово · проверить новый макет,thumbnails/CllBnT_-hKs.jpg,1280 × 720,127649,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - Новинки видео; MOKO - решения и обзоры,ca7320cc23153f96ab1d2f319561d71c0909e47e8fbae999ac20a7c2a3cb4816
16,HEmNyEcmrZY,Урок №14. Дерево. Одноименные регионы и хэшы,https://www.youtube.com/watch?v=HEmNyEcmrZY,Python — автоматизация в MOKO SE,21,,Уроки Python,#B8EB55,Python,Урок,14,Дерево данных,Утверждено · прежние 18 сохранены,thumbnails/HEmNyEcmrZY.jpg,1280 × 720,156959,,Текущий плейлист Python + исходная обложка,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,Уроки Python - MOKO SE,323fe1ed66247899d107539aa1e8d09b98c85d5d39224492a430448bbf5afce6
17,KmLxID8LONo,Урок №2.2. Утилиты. Подключение к MOKO SE,https://www.youtube.com/watch?v=KmLxID8LONo,"LabVIEW — драйверы, утилиты и плагины",5,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,2.2,ПОДКЛЮЧАЕМ УТИЛИТУ,Готово · проверить новый макет,thumbnails/KmLxID8LONo.jpg,1280 × 720,97261,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Разработка драйверов и утилит - MOKO SE,4b9f413632d601dec906fe73f5bdb609bc3091dd375d25cdc754fefe56f8a712
18,J_5qLMX5uNs,Урок №2.1. Утилиты. Разработка и компиляция,https://www.youtube.com/watch?v=J_5qLMX5uNs,"LabVIEW — драйверы, утилиты и плагины",4,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,2.1,СОЗДАЁМ УТИЛИТУ,Готово · проверить новый макет,thumbnails/J_5qLMX5uNs.jpg,1280 × 720,97895,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Разработка драйверов и утилит - MOKO SE,dfbc8dc0383841436133039c3a9bd7954aa6786ddd67569860c78dbc3c385bb9
19,shP4XNNsC6Q,Урок №1.2. Драйверы. Подключение к MOKO SE,https://www.youtube.com/watch?v=shP4XNNsC6Q,"LabVIEW — драйверы, утилиты и плагины",3,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,1.2,Подключаем драйвер,Утверждено · прежние 18 сохранены,thumbnails/shP4XNNsC6Q.jpg,1280 × 720,197872,,Название LabVIEW или логотип LabVIEW на исходной обложке,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,Разработка драйверов и утилит - MOKO SE,a26ba743fa81a78b377f5548d9a53f5442a708daaa9a3268a511c77e84b646bc
20,EsLUSn9RDL4,Урок №1.1. Драйверы. Разработка и компиляция,https://www.youtube.com/watch?v=EsLUSn9RDL4,"LabVIEW — драйверы, утилиты и плагины",2,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,1.1,Создаём драйвер,Утверждено · прежние 18 сохранены,thumbnails/EsLUSn9RDL4.jpg,1280 × 720,195834,,Название LabVIEW или логотип LabVIEW на исходной обложке,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,Разработка драйверов и утилит - MOKO SE,e78db47b4497d31327055ab5b15039c3e0384024e107c759652f5382deaa591c
21,zv4wZlanZzg,Урок №0. Введение. Установка ПО для разработки утилит и драйверов,https://www.youtube.com/watch?v=zv4wZlanZzg,"LabVIEW — драйверы, утилиты и плагины",1,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,0,СРЕДА РАЗРАБОТКИ,Готово · проверить новый макет,thumbnails/zv4wZlanZzg.jpg,1280 × 720,83545,Финальное визуальное согласование; архивная версия программы/ОС,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Разработка драйверов и утилит - MOKO SE,7ae81d389c6c866f9660385fd154b96657030b1dca5b4d595dcd3baaccc379c5
22,E2Wj5L17Oxo,"Урок №13.2. Плагин MOKO Clicker. Команды Screenshot, PngPath и PngFile",https://www.youtube.com/watch?v=E2Wj5L17Oxo,Python — автоматизация в MOKO SE,20,,Уроки Python,#B8EB55,Python,Урок,13.2,СНИМКИ ЭКРАНА,Готово · проверить новый макет,thumbnails/E2Wj5L17Oxo.jpg,1280 × 720,89777,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,298878356934db953f8b095f9e40ccefe7d13a41c4404ffdf522425b9e11977f
23,kuzcOBW11rk,Урок №13.1. Плагин MOKO Clicker. Команды управления кнопками мыши и курсором,https://www.youtube.com/watch?v=kuzcOBW11rk,Python — автоматизация в MOKO SE,19,,Уроки Python,#B8EB55,Python,Урок,13.1,УПРАВЛЕНИЕ МЫШЬЮ,Готово · проверить новый макет,thumbnails/kuzcOBW11rk.jpg,1280 × 720,94913,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,8cae2789a31847ea7f9b4a37443542ab67bf9920d7f7c15314596e2e0823dc19
24,aSjRYZWMfjc,"Урок №12.3. Плагин MOKO Graph. Команды Autoscale, Screenshot и Legend",https://www.youtube.com/watch?v=aSjRYZWMfjc,Python — автоматизация в MOKO SE,18,,Уроки Python,#B8EB55,Python,Урок,12.3,НАСТРОЙКА ГРАФИКОВ,Готово · проверить новый макет,thumbnails/aSjRYZWMfjc.jpg,1280 × 720,93544,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,62c7fb02779f4c216ad897cb2fc7b123099855aedf0e91ad305a4d1403edc777
25,jq_D-9nsomg,"Урок №12.2. Плагин MOKO Graph. Команды HideLine, ShowLine, ShowOnlyLine и DeleteLine",https://www.youtube.com/watch?v=jq_D-9nsomg,Python — автоматизация в MOKO SE,17,,Уроки Python,#B8EB55,Python,Урок,12.2,УПРАВЛЕНИЕ ЛИНИЯМИ,Готово · проверить новый макет,thumbnails/jq_D-9nsomg.jpg,1280 × 720,87821,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,968b0d0bd1742238d6fedbf3432ac93df7363bbe3c738eeb3ccc829e8232e696
26,b5zjy0PHU0s,"Урок №12.1. Плагин MOKO Graph. Добавление графиков и их изменение, подпись осей и очистка графика",https://www.youtube.com/watch?v=b5zjy0PHU0s,Python — автоматизация в MOKO SE,16,,Уроки Python,#B8EB55,Python,Урок,12.1,Графики в MOKO SE,Утверждено · прежние 18 сохранены,thumbnails/b5zjy0PHU0s.jpg,1280 × 720,148658,,Текущий плейлист Python + исходная обложка,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,Уроки Python - MOKO SE,195c466918faa11c7d4b2b204353372eb3f5a27e7d5358a457e0134654f1619f
27,-WRagVBYLxg,Урок №11.3. Архитектура проекта. Скрипт формирования протокола,https://www.youtube.com/watch?v=-WRagVBYLxg,Python — автоматизация в MOKO SE,15,,Уроки Python,#B8EB55,Python,Урок,11.3,ФОРМИРУЕМ ПРОТОКОЛ,Готово · проверить новый макет,thumbnails/-WRagVBYLxg.jpg,1280 × 720,114761,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,eb6ce4402e1263081968c9f53215508d775ded1c94db7903bab1b185d7dec802
28,Tiff450MBJ4,Урок №11.2. Архитектура проекта. Скрипты испытаний,https://www.youtube.com/watch?v=Tiff450MBJ4,Python — автоматизация в MOKO SE,14,,Уроки Python,#B8EB55,Python,Урок,11.2,СКРИПТЫ ИСПЫТАНИЙ,Готово · проверить новый макет,thumbnails/Tiff450MBJ4.jpg,1280 × 720,93116,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,58360b7bae892f60fe6e639eae451bd6e242069d70038708e2339a5c90c2a8c4
29,egIx1gEHksA,Урок №11.1. Архитектура проекта. Регистрация образца,https://www.youtube.com/watch?v=egIx1gEHksA,Python — автоматизация в MOKO SE,13,,Уроки Python,#B8EB55,Python,Урок,11.1,РЕГИСТРАЦИЯ ОБРАЗЦА,Готово · проверить новый макет,thumbnails/egIx1gEHksA.jpg,1280 × 720,78925,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,546e8c7a3866d2cf2431a584b5537d259e6da13a7f2cdc2a21dfe7f665c37edd
30,tXsjlxHMt6Y,Урок №10. Функция Telegram. Подключение телеграм бота MOKO SE BOT и его использование,https://www.youtube.com/watch?v=tXsjlxHMt6Y,Python — автоматизация в MOKO SE,12,,Уроки Python,#B8EB55,Python,Урок,10,Telegram + MOKO SE,Утверждено · прежние 18 сохранены,thumbnails/tXsjlxHMt6Y.jpg,1280 × 720,149715,,Текущий плейлист Python + исходная обложка,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,Уроки Python - MOKO SE,b81cae283dd4c90f863902f7673ef431ed787c70a13ac9567d02a83f312d9ded
31,FKGsam4DP6w,Урок №9. Функция Program. Управление MOKO SE из скрипта,https://www.youtube.com/watch?v=FKGsam4DP6w,Python — автоматизация в MOKO SE,11,,Уроки Python,#B8EB55,Python,Урок,9,УПРАВЛЯЕМ ИЗ СКРИПТА,Готово · проверить новый макет,thumbnails/FKGsam4DP6w.jpg,1280 × 720,103229,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,7b19d915371cca7c967e07f06014704f9d2c44314d6fbc1b0a4de615c322ea32
32,oUseu_82YBM,Урок №8. Функция Utility. Окно с интерфейсом для заполнения формы,https://www.youtube.com/watch?v=oUseu_82YBM,Python — автоматизация в MOKO SE,10,,Уроки Python,#B8EB55,Python,Урок,8,ФОРМА ВВОДА ДАННЫХ,Готово · проверить новый макет,thumbnails/oUseu_82YBM.jpg,1280 × 720,96620,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,a34225b0505631ea9b6d1b0840d244d7bfc9bcbb060f2d9c46935915762a91c1
33,LXg7Ql5Aye0,"Урок №7. Функция Plugin. Прорисовка графиков, подключение к БД, управление группой устройств",https://www.youtube.com/watch?v=LXg7Ql5Aye0,Python — автоматизация в MOKO SE,9,,Уроки Python,#B8EB55,Python,Урок,7,РАБОТА С ПЛАГИНАМИ,Готово · проверить новый макет,thumbnails/LXg7Ql5Aye0.jpg,1280 × 720,94067,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Уроки Python - MOKO SE,bcf9828bd0607c123e496b0f21f080444c4b30d9560e42e51c89654be8e55999
34,S3gTxhKKBOs,Урок №6. Функция Driver. Отправка и получение данных из электронных приборов,https://www.youtube.com/watch?v=S3gTxhKKBOs,Python — автоматизация в MOKO SE,8,,Уроки Python,#B8EB55,Python,Урок,6,Обмен с приборами,Утверждено · прежние 18 сохранены,thumbnails/S3gTxhKKBOs.jpg,1280 × 720,152577,,Плейлист Python + исходная обложка + описание и таймкоды автора,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,"Устанавливаем значения и получаем данные через функцию Driver; далее формируется протокол Word. Это Python-урок, не курс разработки LabVIEW-драйвера. Прибор — условная иллюстрация без модели и показаний.",Уроки Python - MOKO SE,c8cf6735b580c3dba6637a5991be11373460238c01e7f1ffe6428b51f162734a
35,oJktpGbr7WA,"Урок №5. Функция Report. Сохранение, очистка и удаление строк, таблиц и картинок",https://www.youtube.com/watch?v=oJktpGbr7WA,Python — автоматизация в MOKO SE,7,,Уроки Python,#B8EB55,Python,Урок,5,Создаём отчёты,Утверждено · прежние 18 сохранены,thumbnails/oJktpGbr7WA.jpg,1280 × 720,173990,,Текущий плейлист Python + исходная обложка,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,Уроки Python - MOKO SE,619c98530154154a7889adedc8b5c346384584e491746aa5b3bd58d14e06e0bb
36,w9YARQn9SFs,"Урок №4. Функция Messenger. Использование разных режимов, типов и вставка картинок",https://www.youtube.com/watch?v=w9YARQn9SFs,Python — автоматизация в MOKO SE,6,,Уроки Python,#B8EB55,Python,Урок,4,Диалоговые окна,Утверждено · прежние 18 сохранены,thumbnails/w9YARQn9SFs.jpg,1280 × 720,151575,,Плейлист Python + исходная обложка + описание и таймкоды автора,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,"Messenger формирует окна, таймер, ввод string/boolean, выбор и изображения. Не изображать социальный мессенджер, Telegram или переписку.",Уроки Python - MOKO SE,dee4835d5563f940df6dfa63da444fd7cc336202f8b5ff347a76b2068baa496c
37,koGtgs5iNfk,Урок №3. Функция Stage. Предназначение разных типов,https://www.youtube.com/watch?v=koGtgs5iNfk,Python — автоматизация в MOKO SE,5,,Уроки Python,#B8EB55,Python,Урок,3,Типы сообщений,Утверждено · прежние 18 сохранены,thumbnails/koGtgs5iNfk.jpg,1280 × 720,141031,,Плейлист Python + исходная обложка + описание и таймкоды автора,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,"Исправлен прежний черновой смысл «этапы программы». В описании перечислены типы info, error, plugin, driver, report, warning. Правая карточка — схема типов, не снимок интерфейса.",Уроки Python - MOKO SE,d3caf705a12b4ea1f671da19a7573151b40b8bbf013fa8bf05992da7218b0c07
